msoa21cd,all_lgb_plus,gay_or_lesbian,bisexual_and_other,all_diff_id,trans_mw,other_id,different_unanswered
E02000381,0.049588086,0.029467681,0.020120405,0.007762991,0.003168568,0.00095057,0.003643853
E02000382,0.0621673,0.039923954,0.022243346,0.004751948,0.000760312,0.001140468,0.002851169
E02000383,0.065347324,0.038783371,0.026563953,0.004781511,0.001859477,0.001328198,0.001593837
E02000384,0.063051702,0.036850217,0.026201485,0.008126664,0.002522068,0.001961609,0.003642987
E02000385,0.088840949,0.055501079,0.03333987,0.004314571,0.001372818,0.000980584,0.001961169
E02000386,0.051683998,0.031351855,0.020332143,0.008225982,0.00388018,0.001241658,0.003104144
E02000387,0.057651791,0.034667688,0.022984103,0.007281088,0.003065721,0.001341253,0.002874114
E02000388,0.05216704,0.029113424,0.023053616,0.006850217,0.003688579,0.000922145,0.002239494
E02000389,0.055129959,0.03502052,0.020109439,0.004378763,0.001368363,0.000547345,0.002463054
E02000390,0.048582231,0.027410208,0.021172022,0.005671078,0.002457467,0.000378072,0.002835539
E02000391,0.0385415,0.026067488,0.012474012,0.005434783,0.002877238,0.000799233,0.001758312
E02000392,0.041352406,0.022106632,0.019245773,0.004289056,0.002469457,0.000649857,0.001169743
E02000393,0.044925792,0.022061773,0.02286402,0.003610832,0.001203611,0.001003009,0.001404213
E02000394,0.042335577,0.024987053,0.017348524,0.006475006,0.003237503,0.001165501,0.002072002
E02000395,0.041837572,0.02707137,0.014766201,0.00266612,0.001230517,0.000820345,0.000615258
E02000396,0.039641944,0.026306175,0.013335769,0.005116024,0.001096291,0.002009867,0.002009867
E02000397,0.048907229,0.023689439,0.02521779,0.020938407,0.004432218,0.002292526,0.014213663
E02000398,0.026671168,0.009790682,0.016880486,0.016540084,0.005907173,0.001181435,0.009451477
E02000400,0.038854806,0.01982067,0.019034135,0.008179959,0.001887683,0.001258455,0.005033821
E02000401,0.02960585,0.011592652,0.018013198,0.014797647,0.005526832,0.001426279,0.007844536
